,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,   5/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1        ,1        ,,1        ,1        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1        ,,,,,,,,,,,,,,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,1        ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/3  ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/2  ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   2/3  ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   5/6  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1/6  ,   1/6  ,   1/6  ,   1/6  ,   1/6  ,1        